series,timestamp,value,label
pressure,2023-09-15T07:17:50.000Z,716.06321,
pressure,2023-09-15T07:37:50.000Z,716.05458,
pressure,2023-09-15T07:57:50.000Z,716.05037,
pressure,2023-09-15T08:17:50.000Z,716.11046,
pressure,2023-09-15T08:37:50.000Z,716.08468,
pressure,2023-09-15T08:57:50.000Z,716.05058,
pressure,2023-09-15T09:17:50.000Z,716.04626,
pressure,2023-09-15T09:37:50.000Z,715.92544,
pressure,2023-09-15T09:57:50.000Z,715.88249,
pressure,2023-09-15T10:17:50.000Z,715.84815,
pressure,2023-09-15T10:37:50.000Z,715.82235,
pressure,2023-09-15T10:57:50.000Z,715.77498,
pressure,2023-09-15T11:17:50.000Z,715.75349,
pressure,2023-09-15T11:37:50.000Z,715.73175,
pressure,2023-09-15T11:57:50.000Z,715.77058,
pressure,2023-09-15T12:17:50.000Z,715.861,
pressure,2023-09-15T12:37:50.000Z,715.89984,
pressure,2023-09-15T12:57:50.000Z,715.92132,
pressure,2023-09-15T13:17:50.000Z,715.25806,
pressure,2023-09-15T13:37:50.000Z,715.36587,
pressure,2023-09-15T13:57:50.000Z,715.43923,
pressure,2023-09-15T14:17:50.000Z,715.62879,
pressure,2023-09-15T14:37:50.000Z,715.72396,
pressure,2023-09-15T14:57:50.000Z,715.59032,
pressure,2023-09-15T15:17:50.000Z,715.4825,
pressure,2023-09-15T15:37:50.000Z,716.55158,
pressure,2023-09-15T15:57:50.000Z,716.85307,
pressure,2023-09-15T16:17:50.000Z,716.93491,
pressure,2023-09-15T16:37:50.000Z,717.14646,
pressure,2023-09-15T16:57:50.000Z,717.15533,
pressure,2023-09-15T17:17:50.000Z,717.20302,
pressure,2023-09-15T17:37:50.000Z,717.10786,
pressure,2023-09-15T17:57:50.000Z,717.32267,
pressure,2023-09-15T18:17:50.000Z,717.36212,
pressure,2023-09-15T18:37:50.000Z,717.3493,
pressure,2023-09-15T18:57:50.000Z,717.17609,
pressure,2023-09-15T19:17:50.000Z,717.14587,
pressure,2023-09-15T19:37:50.000Z,717.18441,
pressure,2023-09-15T19:57:50.000Z,717.20641,
pressure,2023-09-15T20:17:50.000Z,717.15047,
pressure,2023-09-15T20:37:50.000Z,717.07286,
pressure,2023-09-15T20:57:50.000Z,717.04205,
pressure,2023-09-15T21:17:50.000Z,718.35401,
pressure,2023-09-15T21:37:50.000Z,716.54744,
pressure,2023-09-15T21:57:50.000Z,716.71951,
pressure,2023-09-15T22:17:50.000Z,716.58127,
